nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n1_micro,DFS,—,completo,1,URDL,True,meta,8,5,18,45,7,5,24,30,0.000
n1_micro,DFS,—,completo,1,URLD,True,meta,8,5,12,29,7,6,19,26,0.000
n1_micro,DFS,—,completo,1,DULR,True,meta,8,5,36,91,7,2,39,46,0.000
n1_micro,DFS,—,completo,1,DURL,True,meta,8,5,36,91,7,2,39,46,0.000
n1_micro,DFS,—,completo,1,DLUR,True,meta,8,5,32,81,8,4,37,45,0.000
n1_micro,DFS,—,completo,1,DLRU,True,meta,8,5,52,123,6,2,55,61,0.000
n1_micro,DFS,—,completo,1,DRUL,True,meta,8,5,56,133,5,0,57,62,0.000
n1_micro,DFS,—,completo,1,DRLU,True,meta,8,5,55,130,5,1,57,62,0.000
n1_micro,DFS,—,completo,1,LUDR,True,meta,8,5,8,19,9,8,17,26,0.000
n1_micro,DFS,—,completo,1,LURD,True,meta,8,5,8,19,9,8,17,26,0.000
n1_micro,DFS,—,completo,1,LDUR,True,meta,8,5,31,78,9,5,37,46,0.000
n1_micro,DFS,—,completo,1,LDRU,True,meta,8,5,51,120,7,3,55,62,0.000
n1_micro,DFS,—,completo,1,LRUD,True,meta,8,5,28,61,7,6,35,42,0.000
n1_micro,DFS,—,completo,1,LRDU,True,meta,8,5,51,120,7,3,55,62,0.000
n1_micro,DFS,—,completo,1,RUDL,True,meta,8,5,38,87,5,3,42,46,0.000
n1_micro,DFS,—,completo,1,RULD,True,meta,8,5,32,71,5,4,37,42,0.000
n1_micro,DFS,—,completo,1,RDUL,True,meta,8,5,56,133,5,0,57,62,0.000
n1_micro,DFS,—,completo,1,RDLU,True,meta,8,5,55,130,5,1,57,62,0.000
n1_micro,DFS,—,completo,1,RLUD,True,meta,8,5,31,68,6,5,37,43,0.000
n1_micro,DFS,—,completo,1,RLDU,True,meta,8,5,54,127,6,2,57,63,0.000
n2_akk04,DFS,—,completo,1,UDLR,True,meta,137,40,5927,15127,149,78,6006,6087,0.022
n2_akk04,DFS,—,completo,1,UDRL,True,meta,153,38,3838,9874,150,101,3940,4046,0.014
n2_akk04,DFS,—,completo,1,ULDR,True,meta,139,42,6036,15345,193,79,6116,6198,0.022
